ID,Number_of_Drinks,Arrival_Time,Turnaround_Time,Response_Time,Waiting_Time,Throughput
4,1,549,409,409,309,2.44
7,2,872,627,115,507,3.19
17,3,1727,53,33,23,56.6
22,1,2335,137,137,57,7.3
13,3,1581,1022,28,842,2.94
29,2,3050,97,66,57,20.62
20,2,2006,1341,64,1211,1.49
21,1,2345,1184,1184,1084,0.84
32,1,3498,620,620,520,1.61
40,1,4177,50,50,40,20
9,3,986,3474,159,3204,0.86
42,1,4426,46,46,36,21.74
44,1,4462,20,20,10,50
23,3,2433,2181,50,2041,1.38
43,1,4514,109,109,99,9.17
45,2,4535,218,138,88,9.17
27,2,2743,2132,101,1962,0.94
47,1,4767,117,117,107,8.55
50,2,5066,409,99,229,4.89
57,1,5855,72,72,42,13.89
59,2,6184,135,45,35,14.81
62,2,6312,47,17,7,42.55
66,1,6674,239,239,149,4.18
67,2,6715,299,108,149,6.69
68,3,6951,204,73,64,14.71
70,1,7090,75,75,65,13.33
65,3,6627,658,95,438,4.56
72,1,7245,71,71,41,14.08
64,3,6445,1092,45,932,2.75
83,1,8323,89,89,79,11.24
85,4,8630,569,116,339,7.03
91,4,9277,156,36,36,25.64
80,3,8004,1852,18,1712,1.62
99,1,10048,264,264,164,3.79
2,3,390,11164,68,10934,0.27
77,1,7782,3900,3900,3780,0.26
98,4,9867,1935,115,1635,2.07
34,4,3661,8648,24,8408,0.46
25,2,2635,9803,9550,9563,0.2
37,5,3711,8976,50,8686,0.56
18,2,2027,10866,10026,10546,0.18
73,4,7428,6488,138,6088,0.62
41,2,4372,9750,142,9520,0.21
76,3,7658,6661,271,6261,0.45
33,1,3323,11424,11424,11224,0.09
15,5,1559,13818,40,13428,0.36
16,4,1899,13679,93,13289,0.29
52,2,5414,10772,1067,10452,0.19
94,2,9454,6935,1856,6615,0.29
90,2,9282,7520,61,7310,0.27
39,4,4143,12860,135,12330,0.31
14,5,1563,16057,101,15627,0.31
56,5,5770,12055,76,11625,0.41
35,4,3613,15340,62,14840,0.26
30,2,3259,16012,119,15682,0.12
63,2,6515,13069,16,12759,0.15
8,3,975,18921,92,18441,0.16
95,4,9614,10579,33,10049,0.38
75,4,7540,13276,130,12796,0.3
54,5,5631,15489,85,14939,0.32
79,5,8093,13645,26,13165,0.37
81,3,8156,13897,59,13487,0.22
10,5,1141,21522,16,20842,0.23
38,1,3860,19117,19117,18817,0.05
3,4,576,22716,90,22006,0.18
87,2,8759,15136,15136,14536,0.13
86,2,8702,15811,139,15461,0.13
89,5,8979,15839,119,14969,0.32
96,5,9783,15342,98,14612,0.33
60,3,6063,19379,15,19019,0.15
31,3,3266,22485,159,22035,0.13
53,4,5472,21529,55,20899,0.19
61,3,6362,20947,220,20507,0.14
58,5,5942,21682,78,20922,0.23
28,5,2877,25368,69,24878,0.2
6,3,693,27857,64,27247,0.11
26,3,2706,26151,59,25811,0.11
71,2,7116,22048,6387,21548,0.09
12,4,1321,28355,36,27685,0.14
82,2,8334,21849,158,21269,0.09
48,5,4846,25855,57,25065,0.19
78,4,7958,23255,154,22175,0.17
46,4,4841,26868,48,25958,0.15
51,5,5243,27487,51,26257,0.18
88,4,8857,24385,124,23635,0.16
92,2,9337,24404,17347,23604,0.08
84,5,8638,25613,122,24513,0.2
19,3,1956,32797,166,31947,0.09
5,3,571,34689,80,34099,0.09
0,2,241,35521,200,34821,0.06
74,3,7695,28572,72,27942,0.1
93,4,9382,27389,61,26299,0.15
36,2,3731,33536,7694,32916,0.06
55,2,5573,32205,6355,31585,0.06
11,2,1104,37183,1289,36593,0.05
1,5,248,38549,206,37759,0.13
69,3,7178,32119,188,31519,0.09
24,4,2581,37221,50,36571,0.11
49,4,5182,35129,195,34229,0.11
97,4,9774,31046,158,30076,0.13
Total_Time (s),,,,,,
40.84,,,,,,
